"Total (Mil pessoas)","Grupo de Idade","Mês"
3573,"10 a 14 anos",2003-01-01
3621,"10 a 14 anos",2003-02-01
3610,"10 a 14 anos",2003-03-01
3633,"10 a 14 anos",2003-04-01
3623,"10 a 14 anos",2003-05-01
3621,"10 a 14 anos",2003-06-01
3564,"10 a 14 anos",2003-07-01
3595,"10 a 14 anos",2003-08-01
3631,"10 a 14 anos",2003-09-01
3607,"10 a 14 anos",2003-10-01
3609,"10 a 14 anos",2003-11-01
2341,"15 a 17 anos",2003-01-01
2366,"15 a 17 anos",2003-02-01
2389,"15 a 17 anos",2003-03-01
2350,"15 a 17 anos",2003-04-01
2432,"15 a 17 anos",2003-05-01
2399,"15 a 17 anos",2003-06-01
2384,"15 a 17 anos",2003-07-01
2356,"15 a 17 anos",2003-08-01
2295,"15 a 17 anos",2003-09-01
2311,"15 a 17 anos",2003-10-01
2329,"15 a 17 anos",2003-11-01
5737,"18 a 24 anos",2003-01-01
5682,"18 a 24 anos",2003-02-01
5690,"18 a 24 anos",2003-03-01
5747,"18 a 24 anos",2003-04-01
5716,"18 a 24 anos",2003-05-01
5827,"18 a 24 anos",2003-06-01
5835,"18 a 24 anos",2003-07-01
5895,"18 a 24 anos",2003-08-01
5919,"18 a 24 anos",2003-09-01
5896,"18 a 24 anos",2003-10-01
5881,"18 a 24 anos",2003-11-01
16585,"25 a 49 anos",2003-01-01
16530,"25 a 49 anos",2003-02-01
16623,"25 a 49 anos",2003-03-01
16587,"25 a 49 anos",2003-04-01
16633,"25 a 49 anos",2003-05-01
16603,"25 a 49 anos",2003-06-01
16585,"25 a 49 anos",2003-07-01
16634,"25 a 49 anos",2003-08-01
16648,"25 a 49 anos",2003-09-01
16690,"25 a 49 anos",2003-10-01
16621,"25 a 49 anos",2003-11-01
8504,"50 anos ou mais",2003-01-01
8610,"50 anos ou mais",2003-02-01
8527,"50 anos ou mais",2003-03-01
8572,"50 anos ou mais",2003-04-01
8563,"50 anos ou mais",2003-05-01
8458,"50 anos ou mais",2003-06-01
8638,"50 anos ou mais",2003-07-01
8569,"50 anos ou mais",2003-08-01
8574,"50 anos ou mais",2003-09-01
8695,"50 anos ou mais",2003-10-01
8795,"50 anos ou mais",2003-11-01
36740,"Total",2003-01-01
36809,"Total",2003-02-01
36839,"Total",2003-03-01
36889,"Total",2003-04-01
36967,"Total",2003-05-01
36908,"Total",2003-06-01
37006,"Total",2003-07-01
37049,"Total",2003-08-01
37067,"Total",2003-09-01
37199,"Total",2003-10-01
37235,"Total",2003-11-01
